GeoName;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
  Alabama ;44.233;44.410;45.440;46.240;47.900;48.520;47.922;46.850;46.540;46.370;46.700;46.660;50.100
  Alaska ;7.860;7.800;8.040;8.120;8.290;8.510;8.461;8.170;8.110;8.070;8.310;8.310;8.570
  Arizona ;62.208;65.180;66.690;67.640;70.350;69.220;73.613;72.090;72.520;74.630;75.740;75.990;78.840
  Arkansas ;28.928;29.930;30.820;30.910;31.520;31.860;32.331;32.550;32.530;31.940;31.810;31.290;34.340
  California ;422.125;427.500;430.110;430.240;426.330;434.440;438.628;436.420;440.980;444.470;443.860;443.280;429.330
  Colorado ;50.968;51.480;51.840;53.950;54.940;56.720;58.031;58.850;59.870;60.000;60.140;60.330;61.170
  Connecticut ;38.722;38.720;37.970;38.200;38.640;38.560;38.303;37.590;38.350;37.750;36.360;36.600;38.270
  Delaware ;8.070;8.220;8.340;8.410;8.590;8.660;8.829;8.970;9.270;9.220;9.350;9.370;10.310
  District of Columbia;3.961;3.810;3.760;4.060;3.800;3.910;3.710;3.690;3.560;3.420;3.660;3.740;4.170
  Florida ;158.029;159.790;166.710;171.170;177.220;183.380;188.713;185.170;186.120;186.530;188.320;194.090;197.720
  Georgia ;92.416;95.360;99.530;103.380;106.580;111.710;115.031;114.320;115.910;114.920;114.220;112.610;122.190
  Hawaii ;10.790;11.000;10.720;10.810;10.650;11.140;10.660;11.200;11.270;10.990;11.100;10.840;11.810
  Idaho ;17.198;18.860;17.720;17.820;18.620;18.900;19.569;19.450;19.900;20.080;20.870;20.860;21.640
  Illinois ;139.228;136.790;138.800;138.260;137.790;138.340;136.725;134.380;137.800;138.110;135.740;132.870;136.430
  Indiana ;66.595;67.110;65.920;65.510;67.340;69.490;71.960;65.590;66.880;68.360;65.590;65.820;67.310
  Iowa ;32.548;32.640;32.570;32.910;33.140;33.650;33.647;33.740;34.090;34.160;34.810;35.340;36.390
  Kansas ;31.922;32.100;31.850;32.750;32.850;33.480;33.349;33.340;33.710;33.660;33.470;33.400;34.930
  Kentucky ;42.888;42.870;43.270;44.310;44.580;45.760;46.130;46.310;45.670;44.410;44.630;44.080;47.140
  Louisiana ;37.508;38.640;38.410;39.750;40.610;43.430;43.138;43.180;42.650;42.260;42.410;41.500;43.860
  Maine ;13.170;12.530;12.180;12.210;11.880;11.750;11.679;11.370;11.420;11.590;11.560;11.310;11.420
  Maryland ;58.896;57.930;57.320;57.040;56.710;58.390;57.421;59.270;59.880;59.030;58.090;56.580;63.480
  Massachusetts ;66.360;65.650;65.940;68.460;68.130;68.440;68.235;67.870;68.910;69.010;67.220;66.180;68.390
  Michigan ;104.210;102.140;101.270;99.700;100.100;101.070;100.062;97.700;97.530;98.340;94.760;92.500;94.750
  Minnesota ;58.255;57.350;58.040;58.120;59.010;59.770;61.165;60.260;61.820;62.790;62.320;62.800;64.340
  Mississippi ;26.502;26.690;26.720;27.660;28.220;29.810;29.133;27.970;27.590;27.560;27.120;26.580;28.730
  Missouri ;61.407;61.050;60.770;61.820;61.150;61.680;61.211;60.850;61.770;61.610;61.480;61.800;64.340
  Montana ;9.369;9.480;9.380;9.290;9.330;9.420;9.272;9.190;9.300;9.570;9.660;10.070;10.240
  Nebraska ;20.442;20.250;20.290;20.690;20.690;21.310;21.357;21.820;22.040;22.420;22.350;22.330;21.930
  Nevada ;23.038;23.710;25.090;26.300;28.040;29.560;31.008;31.360;31.930;32.080;32.730;33.480;34.830
  New Hampshire ;14.262;13.780;13.470;13.520;13.050;12.950;12.786;12.890;12.860;12.760;12.600;12.250;12.750
  New Jersey ;96.490;94.840;94.590;96.180;96.740;96.770;96.530;95.280;97.550;97.090;95.790;95.190;99.820
  New Mexico ;19.232;18.780;19.660;19.550;19.770;19.830;19.774;20.050;20.310;20.080;19.880;19.560;21.650
  New York ;180.351;178.880;179.580;179.120;183.080;184.090;182.799;182.800;183.390;180.420;177.180;172.050;173.490
  North Carolina ;94.339;96.390;97.430;99.630;102.630;106.050;108.363;106.790;107.570;98.260;102.060;101.860;113.460
  North Dakota ;6.900;6.910;6.960;6.920;6.820;6.780;6.956;6.900;7.070;7.110;7.220;7.460;7.870
  Ohio ;122.491;119.220;120.470;124.390;125.760;125.890;123.302;121.450;121.490;121.870;118.560;118.360;122.680
  Oklahoma ;37.033;37.430;38.910;40.510;41.380;42.530;43.464;43.590;44.690;44.990;44.290;45.310;48.060
  Oregon ;33.899;34.980;36.180;37.910;37.730;38.370;38.734;38.090;38.000;38.320;37.880;38.540;39.130
  Pennsylvania ;129.777;128.900;125.040;123.140;125.150;125.740;125.515;124.340;126.310;140.480;140.550;140.550;142.710
  Rhode Island ;9.579;9.460;9.600;9.730;9.070;9.270;9.790;9.860;10.080;10.130;9.860;9.450;10.020
  South Carolina ;42.246;42.410;43.650;45.160;46.750;48.830;49.279;48.570;49.150;48.650;48.830;49.660;54.430
  South Dakota ;8.239;7.960;8.170;8.150;8.260;8.360;8.189;8.220;8.320;8.750;8.720;8.890;9.650
  Tennessee ;61.323;60.950;62.020;63.510;63.770;64.370;64.946;63.450;63.670;63.950;64.750;65.140;67.710
  Texas ;301.390;306.120;312.130;322.720;333.010;346.350;355.614;356.870;367.150;364.940;371.190;362.490;395.990
  Utah ;33.186;34.130;35.320;37.220;38.970;40.580;41.795;42.480;44.370;44.610;45.420;46.770;48.310
  Vermont ;6.491;6.220;6.030;5.820;5.670;5.350;5.207;5.200;5.300;5.220;5.330;5.040;5.310
  Virginia ;83.279;83.640;83.800;86.390;87.070;90.180;91.411;91.670;92.120;92.220;91.150;88.620;94.500
  Washington ;66.066;65.590;67.250;68.510;69.260;69.890;67.572;68.850;69.060;70.990;68.680;70.230;72.220
  West Virginia ;17.924;17.650;17.710;18.000;17.840;18.060;17.914;17.620;17.500;17.500;17.140;16.410;18.320
  Wisconsin ;61.425;60.830;60.590;60.950;61.090;61.850;61.504;60.720;60.760;61.870;61.300;60.790;62.980
  Wyoming ;5.489;5.610;5.570;5.720;5.680;5.810;5.828;5.810;5.940;5.960;6.170;6.270;6.470